#N E pmin p1min pmax wmin wmax wave
13648 121938 9.1521e-55 9.1521e-55 0.99917 0 2147483654.15926 1849184.85501294
#nodeindex nodename nodeweight
0 FTO 9.1521e-55
1 BDNF 1.3062e-18
2 CLN3 8.514e-18
3 ATP2A1 6.6681e-14
4 NEGR1 1.3163e-13
5 TUFM 1.7631e-13
6 ETV5 2.1023e-13
7 ADCY3 2.3065e-13
8 FAIM2 1.3163e-13
9 SEC16B 9.1521e-55
10 ATXN2L 5.1321e-13
11 TFAP2B 6.3891e-13
12 QPCTL 1.4152e-12
13 GIPR 1.6681e-12
14 SH2B1 9.1521e-55
15 CELF1 3.7972e-12
16 LIN7C 4.4021e-12
17 MTCH2 9.1521e-55
18 NCKAP5L 1.0928e-11
19 SPI1 2.8174e-11
20 CADM2 3.4082e-11
21 NUP160 5.6134e-11
22 MAP2K5 9.3827e-11
23 ANKDD1B 1.0042e-10
24 GPRC5B 1.1509e-10
25 POC5 1.444e-10
26 PSMC3 1.5406e-10
27 CD19 1.9537e-10
28 AGBL2 2.355e-10
29 TNNI3K 3.1803e-13
30 TRIM66 3.5497e-10
31 LMX1B 3.6421e-10
32 SLC39A13 4.5536e-10
33 TCF7L2 9.1521e-55
34 FNBP4 5.6851e-10
35 SULT1A2 8.6431e-10
36 RABEP2 1.0229e-09
37 NRXN3 4.4021e-12
38 MC4R 9.1521e-55
39 COL4A3BP 1.5849e-09
40 FPGT-TNNI3K 3.0218e-10
41 MTIF3 2.1669e-09
42 SULT1A1 8.6431e-10
43 ZC3H4 2.5872e-09
44 NLRC3 5.6945e-09
45 IQCK 6.1073e-09
46 LMOD1 9.2534e-09
47 EFR3B 1.1681e-08
48 NCAM1 1.3062e-18
49 MYBPC3 1.9947e-08
50 AGBL4 2.1278e-08
51 SKOR1 2.3616e-08
52 POLK 2.4993e-08
53 C18orf8 3.4755e-08
54 HMGCR 4.5347e-08
55 NPC1 4.775e-08
56 KAT8 4.9104e-08
57 CALCR 7.7548e-08
58 IPO9 7.7883e-08
59 BCKDK 1.1462e-07
60 PRSS8 1.163e-07
